poll_id,sample_size,population,end_date,state,Biden,Buttigieg,Cheney,Christie,Clinton,Cohen,Cotton,Cruz,Cuban,DeSantis,Haley,Harris,Hawley,Hogan,Kennedy,M. Obama,Manchin,Mapstead,McConaughey,Musk,Newsom,Noem,Oliver,P. Murphy,Pence,Phillips,Pompeo,Pritzker,R. Scott,Ramaswamy,Romney,Rubio,Sanders,Scott,Segal,Shapiro,Stein,Sununu,Swift,Trump,Trump Jr.,Warren,West,Whitmer,Yang,Youngkin
78101,585,rv,12/13/21,"",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
78101,773,a,12/13/21,"",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
78101,777,a,12/13/21,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
78104,750,rv,12/19/21,"",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
78125,1248,lv,12/18/21,"",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
78125,1500,rv,12/18/21,"",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
78251,1016,lv,1/5/22,"",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
78272,1261,lv,1/9/22,"",43,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
78272,1500,rv,1/9/22,"",39,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,
78294,1000,lv,1/6/22,"",44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,,,,,
78297,1000,lv,1/18/22,"",44,,,,41,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3333333333333,,,,,,
78328,1815,rv,1/20/22,"",40,,,,,,,,,40,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,,
78335,2005,rv,1/23/22,"",44.5,,,,,,,39,,39,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,44,,,,,,
78341,1029,rv,1/23/22,"",47,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,
78347,1000,a,1/21/22,"",42,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,
78351,1189,rv,1/24/22,"",43,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78351,1190,rv,1/24/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
78351,1568,a,1/24/22,"",40.5,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
78368,500,lv,1/29/22,Florida,43.9,,,,41.3,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,,,,,,
78425,1205,lv,2/6/22,"",41,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
78425,1500,rv,2/6/22,"",36,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
78428,632,lv,2/4/22,Michigan,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,
78430,800,lv,2/9/22,"",46,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
78464,1138,rv,2/20/22,"",43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
78477,635,lv,2/16/22,Pennsylvania,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,
78490,1143,lv,2/23/22,"",42,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,
78490,1500,rv,2/23/22,"",36,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
78491,1000,lv,2/22/22,"",45,,,,43,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3333333333333,,,,,,
78492,1078,rv,2/23/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
78499,2026,rv,2/24/22,"",42,,,,,,,,,39,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,,,,,,
78506,1046,rv,2/24/22,"",36.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.67,,,,,,
78507,1169,rv,2/27/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
78507,1532,a,2/27/22,"",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
78514,610,lv,2/22/22,Iowa,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,
78550,662,lv,3/8/22,Georgia,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9,,,,,,
78561,1194,lv,3/8/22,"",40,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
78561,1500,rv,3/8/22,"",35,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,
78565,1500,rv,3/7/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
78569,800,lv,3/9/22,"",44,,,,43,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6666666666667,,,,,,
78574,1225,rv,3/14/22,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
78574,1623,a,3/14/22,"",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,
78636,1023,rv,3/20/22,"",41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,
78641,1050,lv,3/21/22,"",43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,,,,,,,,43.5,,,,,,
78659,873,rv,3/21/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
78662,1000,lv,3/22/22,"",46,,,,41,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
78664,1193,lv,3/20/22,"",41,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
78664,1500,rv,3/20/22,"",37,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,
78668,671,lv,3/24/22,Nevada,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,,
78679,1990,rv,3/24/22,"",41,,,,,,,,,38,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
78687,2000,rv,3/21/22,"",50.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.82,,,,,,
78698,1004,a,3/24/22,"",38.6666666666667,,,,,,,,,33,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,37,,,,,,
78717,1233,rv,4/4/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
78717,1618,a,4/4/22,"",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
78726,1205,lv,4/3/22,"",38,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,
78726,1500,rv,4/3/22,"",34,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,
78773,612,rv,4/8/22,Colorado,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,,,,,,
78785,503,rv,4/16/22,New Hampshire,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,,,,,,,,
78797,1500,lv,4/18/22,"",41,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
78805,1001,lv,4/20/22,"",45,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,
78805,1001,rv,4/20/22,"",45,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
78807,1966,rv,4/21/22,"",43,,,,,,,,,38,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
78812,750,lv,4/23/22,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
78814,1187,rv,4/22/22,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
78814,1605,a,4/22/22,"",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
78825,2004,rv,4/25/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,43.5,,,,,,
78856,1000,rv,4/26/22,"",41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,
78857,800,lv,4/27/22,"",48,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
78860,1000,lv,4/26/22,"",43,39,,,,,,,,,,41,,,,,,,,,,,,33,,,,,,,,,,,,,,,,49.75,,,,,,
78898,1004,lv,5/2/22,"",35.5,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
78899,1096,lv,5/1/22,"",40,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,
78899,1500,rv,5/1/22,"",37,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
78972,1782,rv,5/15/22,Missouri,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
78975,1000,rv,5/11/22,Connecticut,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,,
78993,1120,lv,5/17/22,"",39,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
78993,1500,rv,5/17/22,"",35,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,
78994,608,lv,5/16/22,Arizona,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,,,,,,
78997,635,rv,5/20/22,North Carolina,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,,,,
79013,1360,rv,5/22/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
79013,1573,a,5/22/22,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
79016,1963,rv,5/19/22,"",42,,,,,,,,,38,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
79024,1020,lv,5/23/22,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79024,1020,rv,5/23/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79041,1148,rv,5/25/22,"",41.8,,,,,,,,20.3,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,,,,44.4,,,,,,
79079,1173,lv,5/30/22,"",38,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79079,1500,rv,5/30/22,"",33,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
79146,603,lv,6/10/22,Texas,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79159,868,rv,6/9/22,Georgia,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,
79180,1243,rv,6/13/22,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79180,1541,a,6/13/22,"",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
79185,1064,lv,6/15/22,"",38,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
79185,1500,rv,6/15/22,"",33,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
79197,1030,lv,6/20/22,"",42,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
79197,1030,rv,6/20/22,"",41,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
79205,1000,lv,6/15/22,Massachusetts,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,
79206,845,lv,6/20/22,New Hampshire,48,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
79234,1000,lv,6/22/22,"",44,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,,,,,,
79249,1239,rv,6/27/22,"",45.5,,,,,,,,,42.3333333333333,,44.5,,,,,,,,,44,,,,,,,,,,,,,,,,,,,43.6666666666667,,,,,,
79249,1630,a,6/27/22,"",41.5,,,,,,,,,36.6666666666667,,41,,,,,,,,,39.5,,,,,,,,,,,,,,,,,,,40,,,,,,
79294,1271,rv,6/29/22,"",39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,,,
79300,1308,rv,6/30/22,"",40,,,,,,,,,37,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79337,849,rv,7/7/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
79359,1261,rv,7/11/22,"",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
79359,1672,a,7/11/22,"",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
79362,2000,rv,7/10/22,Nevada,39.25,,,,,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
79385,1078,lv,7/9/22,"",41,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
79385,1500,rv,7/9/22,"",33,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,,
79396,1085,lv,7/14/22,"",42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,,,,,,
79412,1022,lv,7/18/22,"",45.5,,,,,,,,,41.5,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
79412,1022,rv,7/18/22,"",45.5,,,,,,,,,39.5,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,,,,,
79426,600,lv,7/14/22,Iowa,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,,,,,,
79429,1078,rv,7/20/22,"",42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,45.3,,,,,,
79464,712,lv,7/21/22,Pennsylvania,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
79488,635,a,7/16/22,"",46.6666666666667,,,,,,,,,53,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,53,,,,,,
79497,1000,rv,7/25/22,"",44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,,
79514,787,lv,7/27/22,Missouri,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
79515,300,lv,7/24/22,Pennsylvania,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,,,,,,
79516,300,lv,7/24/22,Georgia,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
79517,300,lv,7/24/22,Ohio,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,,
79518,300,lv,7/24/22,North Carolina,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
79584,1000,lv,7/27/22,"",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
79587,1885,rv,7/28/22,"",41,,,,,,,,,40,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,
79593,1094,lv,7/28/22,"",35,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
79593,1500,rv,7/28/22,"",34,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
79594,500,lv,7/27/22,Connecticut,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,
79596,1152,rv,8/1/22,"",45,,,,,,,,,42,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
79596,1557,a,8/1/22,"",40.5,,,,,,,,,36,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
79644,1008,rv,8/8/22,"",37,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,39,,,,,,
79644,1208,a,8/8/22,"",35,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,38,,,,,,
79648,656,lv,8/6/22,North Carolina,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
79715,600,lv,8/9/22,New York,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
79727,500,lv,7/26/22,Colorado,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,
79763,925,lv,8/16/22,Ohio,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,
79788,611,lv,8/16/22,Michigan,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,,,,
